{'dt': '20180126 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5580.0, 'volume': 1}
{'dt': '20180615 15:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5294.0, 'volume': 1}
{'dt': '20180622 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5282.0, 'volume': 1}
{'dt': '20180627 15:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5221.0, 'volume': 1}
{'dt': '20180706 14:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5007.0, 'volume': 1}
{'dt': '20180712 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 4943.0, 'volume': 1}
{'dt': '20180720 14:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5014.0, 'volume': 1}
{'dt': '20180727 11:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5100.0, 'volume': 1}
{'dt': '20180731 22:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5069.0, 'volume': 1}
{'dt': '20180802 10:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5010.0, 'volume': 1}
{'dt': '20180802 21:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5054.0, 'volume': 1}
{'dt': '20180814 14:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5062.0, 'volume': 1}
{'dt': '20180816 10:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 4988.0, 'volume': 1}
{'dt': '20180822 13:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4983.0, 'volume': 1}
{'dt': '20180823 23:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5052.0, 'volume': 1}
{'dt': '20180903 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4927.0, 'volume': 1}
{'dt': '20180905 21:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 4979.0, 'volume': 1}
{'dt': '20180906 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4952.0, 'volume': 1}
{'dt': '20180911 21:15:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 4916.0, 'volume': 1}
{'dt': '20180917 23:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4933.0, 'volume': 1}
{'dt': '20180919 23:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 4944.0, 'volume': 1}
{'dt': '20180926 11:30:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5029.0, 'volume': 1}
{'dt': '20180927 22:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 4975.0, 'volume': 1}
{'dt': '20180928 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5123.0, 'volume': 1}
{'dt': '20181010 11:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5159.0, 'volume': 1}
{'dt': '20181025 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5202.0, 'volume': 1}
{'dt': '20181026 09:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5135.0, 'volume': 1}
{'dt': '20181102 10:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5006.0, 'volume': 1}
{'dt': '20181105 14:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5069.0, 'volume': 1}
{'dt': '20181130 14:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4909.0, 'volume': 1}
{'dt': '20181205 14:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 4939.0, 'volume': 1}
{'dt': '20181213 15:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 4967.0, 'volume': 1}
{'dt': '20181219 09:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 4977.0, 'volume': 1}
{'dt': '20181220 15:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4954.0, 'volume': 1}
{'dt': '20181220 21:45:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 4959.0, 'volume': 1}
{'dt': '20181224 21:30:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 4882.0, 'volume': 1}
